Year,Winner,Jockey,Trainer,Owner,Time,Track,miles
2016,Creator,"Irad Ortiz, Jr",Steve Asmussen,WinStar Farm LLC,2:28.51,Belmont,1.5
2015,American Pharoah,Victor Espinoza,Bob Baffert,"Zayat Stables, LLC",2:26.65,Belmont,1.5
2014,Tonalist,Joel Rosario,Christophe Clement,Robert S. Evans,2:28.52,Belmont,1.5
2013,Palace Malice,Mike Smith,Todd Pletcher,Dogwood Stable,2:30.70,Belmont,1.5
2012,Union Rags,John Velazquez,Michael Matz,Phyllis M. Wyeth,2:30.42,Belmont,1.5
2011,Ruler on Ice,"Jose Valdivia, Jr.",Kelly Breen,George and Lori Hall,2:30.88,Belmont,1.5
2010,Drosselmeyer,Mike Smith,William Mott,WinStar Farm LLC,2:31.57,Belmont,1.5
2009,Summer Bird,Kent Desormeaux,Tim Ice,Kalarikkal & Vilasini Jayaraman,2:27.54,Belmont,1.5
2008,Da'Tara,Alan Garcia,Nick Zito,Robert V. LaPenta,2:29.65,Belmont,1.5
2007,Rags to Riches â€¡,John Velazquez,Todd Pletcher,M. Tabor & D. Smith,2:28.74,Belmont,1.5
2006,Jazil,Fernando Jara,Kiaran McLaughlin,Shadwell Farm,2:27.86,Belmont,1.5
2005,Afleet Alex,Jeremy Rose,Timothy Ritchey,Cash is King LLC,2:28.75,Belmont,1.5
2004,Birdstone,Edgar Prado,Nick Zito,Marylou Whitney Stables,2:27.50,Belmont,1.5
2003,Empire Maker,Jerry Bailey,Robert Frankel,Juddmonte Farms,2:28.26,Belmont,1.5
2002,Sarava,Edgar Prado,Kenneth McPeek,New Phoenix Stable,2:29.71,Belmont,1.5
2001,Point Given,Gary Stevens,Bob Baffert,The Thoroughbred Corp.,2:26.56,Belmont,1.5
2000,Commendable,Pat Day,D. Wayne Lukas,Bob & Beverly Lewis,2:31.19,Belmont,1.5
1999,Lemon Drop Kid,Jose Santos,Scotty Schulhofer,Jeanne G. Vance,2:27.88,Belmont,1.5
1998,Victory Gallop,Gary Stevens,W. Elliott Walden,Prestonwood Farm,2:29.16,Belmont,1.5
1997,Touch Gold,Chris McCarron,David Hofmans,Frank Stronach,2:28.82,Belmont,1.5
1996,Editor's Note,Rene R. Douglas,D. Wayne Lukas,Overbrook Farm,2:28.96,Belmont,1.5
1995,Thunder Gulch,Gary Stevens,D. Wayne Lukas,Michael Tabor,2:32.02,Belmont,1.5
1994,Tabasco Cat,Pat Day,D. Wayne Lukas,Reynolds/Overbrook,2:26.82,Belmont,1.5
1993,Colonial Affair,Julie Krone,Scotty Schulhofer,Centennial Farms,2:29.97,Belmont,1.5
1992,A.P. Indy,Ed Delahoussaye,Neil Drysdale,Tomonori Tsurumaki,2:26.13,Belmont,1.5
1991,Hansel,Jerry Bailey,Frank L. Brothers,Lazy Lane Farm,2:28.10,Belmont,1.5
1990,Go And Go,Michael Kinane,Dermot K. Weld,Moyglare Stud Farm,2:27.20,Belmont,1.5
1989,Easy Goer,Pat Day,C. R. McGaughey III,Ogden Phipps,2:26.00,Belmont,1.5
1988,Risen Star,Ed Delahoussaye,Louie J. Roussel III,Louie J. Roussel III,2:26.40,Belmont,1.5
1987,Bet Twice,Craig Perret,Jimmy Croll,Blanche P. Levy,2:28.20,Belmont,1.5
1986,Danzig Connection,Chris McCarron,Woody Stephens,Henryk de Kwiatkowski,2:29.80,Belmont,1.5
1985,Creme Fraiche,Eddie Maple,Woody Stephens,Brushwood Stables,2:27.00,Belmont,1.5
1984,Swale,"Laffit Pincay, Jr.",Woody Stephens,Claiborne Farm,2:27.20,Belmont,1.5
1983,Caveat,"Laffit Pincay, Jr.",Woody Stephens,August Belmont IV,2:27.80,Belmont,1.5
1982,Conquistador Cielo,"Laffit Pincay, Jr.",Woody Stephens,Henryk de Kwiatkowski,2:28.20,Belmont,1.5
1981,Summing,George Martens,Luis Barrera,"Charles T. Wilson, Jr.",2:29.00,Belmont,1.5
1980,Temperence Hill,Eddie Maple,Joseph B. Cantey,Loblolly Stable,2:29.80,Belmont,1.5
1979,Coastal,Ruben Hernandez,David A. Whiteley,William Haggin Perry,2:28.60,Belmont,1.5
1978,Affirmed,Steve Cauthen,Laz Barrera,Harbor View Farm,2:26.80,Belmont,1.5
1977,Seattle Slew,Jean Cruguet,"William H. Turner, Jr.",Karen L. Taylor,2:29.60,Belmont,1.5
1976,Bold Forbes,"Angel Cordero, Jr.",Laz Barrera,E. Rodriguez Tizol,2:29.00,Belmont,1.5
1975,Avatar,Bill Shoemaker,Tommy Doyle,"Arthur A. Seeligson, Jr.",2:28.20,Belmont,1.5
1974,Little Current,Miguel A. Rivera,Lou Rondinello,Darby Dan Farm,2:29.20,Belmont,1.5
1973,Secretariat,Ron Turcotte,Lucien Laurin,Meadow Stable,2:24.00,Belmont,1.5
1972,Riva Ridge,Ron Turcotte,Lucien Laurin,Meadow Stud,2:28.00,Belmont,1.5
1971,Pass Catcher,Walter Blum,Eddie Yowell,October House Farm,2:30.40,Belmont,1.5
1970,High Echelon,John L. Rotz,John W. Jacobs,Ethel D. Jacobs,2:34.00,Belmont,1.5
1969,Arts and Letters,Braulio Baeza,J. Elliott Burch,Rokeby Stables,2:28.80,Belmont,1.5
1968,Stage Door Johnny,Heliodoro Gustines,"John M. Gaver, Sr.",Greentree Stable,2:27.20,Belmont,1.5
1967,Damascus,Bill Shoemaker,"Frank Y. Whiteley, Jr.",Edith W. Bancroft,2:28.80,Aqueduct,1.5
1966,Amberoid,William Boland,Lucien Laurin,Reginald N. Webster,2:29.60,Aqueduct,1.5
1965,Hail To All,Johnny Sellers,Eddie Yowell,Zelda Cohen,2:28.40,Aqueduct,1.5
1964,Quadrangle,Manuel Ycaza,J. Elliott Burch,Rokeby Stables,2:28.40,Aqueduct,1.5
1963,Chateaugay,Braulio Baeza,James P. Conway,Darby Dan Farm,2:30.20,Aqueduct,1.5
1962,Jaipur,Bill Shoemaker,Bert Mulholland,"George D. Widener, Jr.",2:28.80,Belmont,1.5
1961,Sherluck,Braulio Baeza,Harold Young,Jacob Sher,2:29.20,Belmont,1.5
1960,Celtic Ash,Bill Hartack,Thomas J. Barry,Joseph E. O'Connell,2:29.20,Belmont,1.5
1959,Sword Dancer,Bill Shoemaker,J. Elliott Burch,Brookmeade Stable,2:28.40,Belmont,1.5
1958,Cavan,Pete Anderson,Thomas J. Barry,Joseph E. O'Connell,2:30.20,Belmont,1.5
1957,Gallant Man,Bill Shoemaker,John A. Nerud,Ralph Lowe,2:26.60,Belmont,1.5
1956,Needles,David Erb,Hugh L. Fontaine,D & H Stable,2:29.80,Belmont,1.5
1955,Nashua,Eddie Arcaro,Jim Fitzsimmons,Belair Stud,2:29.00,Belmont,1.5
1954,High Gun,Eric Guerin,Max Hirsch,King Ranch,2:30.80,Belmont,1.5
1953,Native Dancer,Eric Guerin,Bill Winfrey,Alfred G. Vanderbilt II,2:28.60,Belmont,1.5
1952,One Count,Eddie Arcaro,Oscar White,Sarah F. Jeffords,2:30.20,Belmont,1.5
1951,Counterpoint,David Gorman,Sylvester Veitch,C. V. Whitney,2:29.00,Belmont,1.5
1950,Middleground,William Boland,Max Hirsch,King Ranch,2:28.60,Belmont,1.5
1949,Capot,Ted Atkinson,"John M. Gaver, Sr.",Greentree Stable,2:30.20,Belmont,1.5
1948,Citation,Eddie Arcaro,Horace A. Jones,Calumet Farm,2:28.20,Belmont,1.5
1947,Phalanx,Ruperto Donoso,Sylvester Veitch,C. V. Whitney,2:29.40,Belmont,1.5
1946,Assault,Warren Mehrtens,Max Hirsch,King Ranch,2:30.80,Belmont,1.5
1945,Pavot,Eddie Arcaro,Oscar White,"Walter M. Jeffords, Sr.",2:30.20,Belmont,1.5
1944,Bounding Home,Gayle Smith,Matt Brady,"William Ziegler, Jr.",2:32.20,Belmont,1.5
1943,Count Fleet,Johnny Longden,Don Cameron,Fannie Hertz,2:28.20,Belmont,1.5
1942,Shut Out,Eddie Arcaro,"John M. Gaver, Sr.",Greentree Stable,2:29.20,Belmont,1.5
1941,Whirlaway,Eddie Arcaro,Ben A. Jones,Calumet Farm,2:31.00,Belmont,1.5
1940,Bimelech,Fred A. Smith,William A. Hurley,Edward R. Bradley,2:29.60,Belmont,1.5
1939,Johnstown,James Stout,Jim Fitzsimmons,Belair Stud,2:29.60,Belmont,1.5
1938,Pasteurized,James Stout,George M. Odom,Carol Harriman Plunkett,2:29.40,Belmont,1.5
1937,War Admiral,Charley Kurtsinger,George Conway,Glen Riddle Farm,2:28.60,Belmont,1.5
1936,Granville,James Stout,Jim Fitzsimmons,Belair Stud,2:30.00,Belmont,1.5
1935,Omaha,Willie Saunders,Jim Fitzsimmons,Belair Stud,2:30.60,Belmont,1.5
1934,Peace Chance,Wayne D. Wright,Pete Coyne,Joseph E. Widener,2:29.20,Belmont,1.5
1933,Hurryoff,Mack Garner,Henry McDaniel,Joseph E. Widener,2:32.60,Belmont,1.5
1932,Faireno,Tommy Malley,Jim Fitzsimmons,Belair Stud,2:32.80,Belmont,1.5
1931,Twenty Grand,Charley Kurtsinger,"James G. Rowe, Jr.",Greentree Stable,2:29.60,Belmont,1.5
1930,Gallant Fox,Earl Sande,Jim Fitzsimmons,Belair Stud,2:31.60,Belmont,1.5
1929,Blue Larkspur,Mack Garner,Herbert J. Thompson,Edward R. Bradley,2:32.80,Belmont,1.5
1928,Vito,Clarence Kummer,Max Hirsch,Alfred H. Cosden,2:33.20,Belmont,1.5
1927,Chance Shot,Earl Sande,Pete Coyne,Joseph E. Widener,2:32.40,Belmont,1.5
1926,Crusader,Albert Johnson,George Conway,Glen Riddle Farm,2:32.20,Belmont,1.5
