Mid-offspr,Male BD,Female BD
10.7,10.9,9.3
9.78,10.7,8.4
9.48,10.7,8.1
9.6,10.7,9.8
10.27,9.85,10.4
9.5,9.8,9.6
9,9.9,8.2
7.46,9.3,5.5
7.65,9.4,8.6
8.63,9.4,7.9
9.81,9.4,9.85
9.4,10.1,9.7
9.48,10.1,9
8.75,8.3,9.8
7.6,8.7,8
10,10.1,10.1
10.09,10.1,10.1
9.74,9.7,10.1
9.64,9.7,10.75
8.49,11.8,8.2
10.15,10.4,10.7
10.28,10.5,10.4
9.2,10.3,8.1
10.01,10.3,10.1
9.03,8.6,9.3
9.94,9.5,10.6
10.5,10,10.4
9.7,10,9
10.02,9.1,10.75
10.04,11.2,8.7
9.43,10,10.1
8.1,9.6,7.9
9.5,10.3,8.1
9.9,10.5,9.8
9.48,11,8.6
10.18,11,10.4
10.16,11,10
9.08,9,10.1
10.39,10.6,10.5
9.9,10.6,10.35
8.4,8.1,9.2
10.6,10.2,11.2
8.75,8.6,9.6
9.46,9.4,9.4
9.6,10.3,10.3
9.6,10.3,9
9.95,10.3,8.7
10.05,9.9,9.5
10.16,10.3,10.75
10.1,10.6,9.3
9.83,10.6,9.6
9.46,9.5,10
9.7,10.4,9.7
9.82,10.4,9.4
10.34,10,10
8.02,10,8.2
9.65,9.1,9.8
9.87,9.1,9.4
9,9.9,9.1
11.14,9.9,10.1
9.25,10.1,10.95
8.14,10.1,9.7
10.23,10.7,10.1
8.7,9.3,8.6
9.8,8.3,10.5
10.54,11.4,10.5
11.19,11.4,10.1
9.85,11.4,8.8
8.1,8.1,8
9.3,8.1,10.1
9.34,9.3,9.8
9.19,9.3,8.8
9.52,11.2,9.2
9.36,10.8,9.2
8.8,10.8,10.3
8.6,11.1,10.4
8,8.6,7.75
8.5,9.4,10
8.3,9,8.6
10.38,11.3,10.2
8.54,8.9,9.7
8.94,9.8,9.6
10,9.8,9.4
9.76,9.9,9.6
9.45,9.9,9.3
9.89,11.6,9.3
10.9,11.6,10.4
9.91,11.6,10.1
9.39,11.6,8.7
9.86,10.9,9.8
9.74,10.8,10
9.9,10.8,9.1
9.09,10.1,8.1
9.69,10.1,10.1
10.24,9.2,10.5
8.9,8.95,10.3
9.67,8.95,10
8.93,9.3,8.7
9.3,9.3,9.2
8.67,9.3,8.9
9.15,10.3,8.2
9.23,9.7,8.7
9.59,9.7,10.2
9.03,10.1,7.2
9.58,10.1,9.5
8.97,9.3,9.5
8.57,9.3,8.7
8.47,9.2,7.9
8.71,9.2,8.3
9.21,9.3,10
9.13,9.3,8.6
8.5,9.9,8.4
9.58,10.85,8.85
9.21,10.85,9.6
9.6,10.85,8.8
9.32,8.8,11.2
8.7,10.45,8.4
10.46,10.8,10
9.29,9,10.75
9.24,9,8.9
9.45,9,8.8
9.35,9.8,8.9
10.19,9.55,11.3
9.91,10,10
9.18,9.6,10.75
9.89,9.6,10.15
9.6,9.6,10.15
10.3,8.9,9.4
9.45,9.5,9.4
8.79,9.5,8.55
9.2,9.5,9.9
8.8,9.9,9.5
9.69,10.3,9.8
10.61,10.3,10.3
9.6,9.6,9.6
9.9,10.6,9.4
9.26,10.6,9
10.2,9.6,10.5
8.79,8.6,8.9
9.28,11.8,9.3
8.83,10.8,8.6
9.76,10.8,9.2
10.2,9.7,10
9.43,9.7,9.9
9.4,9.7,8.65
9.9,9.7,9.6
9.5,9.8,9.3
8.95,9.8,10
9.98,12.7,10.4
9.72,12.7,9.9
9.86,11.4,9.4
11.1,11.4,10.2
9.14,11.4,8.2
10.49,10.3,10.6
9.75,10.4,9.6
10.35,11.1,10.4
9.73,8.8,9.9
9.83,11.5,10
8.69,9.75,8.6
9.58,8.9,10.4
8.42,8.9,8.7
9.25,10.9,10.2
10.12,10.9,10.45
9.31,10.6,9.3
9.99,8.6,10.5
8.59,8.6,9.05
8.74,10.4,9
8.79,9.8,9.9
9.6,9.6,10
9.52,9.4,9.7
8.93,9.85,8.7
10.23,10.2,10.45
9.35,9.9,8.4
9.35,9.2,9.5
9.09,8.7,9.6
9.04,9.8,9.5
9.75,10.55,10.6
10.5,10.55,9.4
9.09,9.7,9.4
9.05,9.7,8.7
9.54,9.7,10.15
9.3,9.7,8.7
9.06,9.7,8.9
8.7,9.05,8.5
9.32,9.05,9.6
8.4,9.05,9.3
8.67,9.05,9.6
8.6,9.05,8.9
9.53,10.3,9.1
9.77,10.3,8.7
9.65,10.3,10.15
9.43,10.05,10
8.35,7.5,8.9
8.26,6.4,10
9.5,9.8,9.3
8.6,9.8,8.3
9.57,9.8,9.4
9.14,9.3,9.9
10.79,10.3,10
8.91,10.3,9.45
9.93,12.37,8.6
10.7,12.37,10.6
9.3,12.37,9.6
9.93,9.6,9.8
9.51,9,10.3
9.44,9,9.7
10.05,9.6,10.5
10.13,10.9,9.3
9.24,9.8,10
8.21,9.8,8.1
8.9,9.8,8.8
9.34,9.2,10.7
8.77,9.9,9
9.4,8.4,10.6
8.82,8.4,8.5
8.83,8.4,9.2
8.6,8.4,8.65
9.5,9.6,9.15
10.2,10.6,9.8
8.09,7.65,7.6
9.07,7.65,9.1
9.29,9.7,8.8
9.1,9.9,8.9
10.19,10.6,10.5
9.25,8.9,8.9
8.98,8.9,8.7
9.02,8.9,9.1
8.6,8.9,8.25
8.25,9.15,8
8.7,10.3,8.9
9.9,10.3,8.45
9.65,10.3,8.9
9.45,9.9,10
9.38,10.1,9.1
10.4,10.4,10
9.96,10.3,9.4
9.46,10.05,9.2
8.26,10.05,8
10.05,10.05,10.7
8.92,10.6,9.9
9.5,9.9,8.7
9.43,9.9,9.1
8.97,9.9,9.2
8.44,9.2,7.9
8.92,9.2,8.9
10.3,11,8.8
8.4,10,9.6
9.37,10,9.5
9.91,11.4,9.1
10,9,9.2
9.21,10,9.3
9.95,10,10.6
8.84,10,7.8
9.82,10,9.9
9.5,8.9,10.1
10.29,9.7,9.85
8.4,10.65,8.2
8.31,6.7,8.8
9.29,6.7,8.4
8.86,8.6,9.6
9.4,10.6,8.6
9.62,9.95,9.2
8.62,9.5,8.4
8.3,10.2,9.1
9.8,10.3,9
8.48,11,8.3
9.61,10.5,8.55
9.5,10.5,9.2
9.37,9.3,8.8
8.74,9.2,9.4
9.31,9.2,8.6
9.5,9.2,9.7
9.49,9.7,10.3
9.74,9.7,10
9.2,9.7,8.8
9.24,10,10.2
9.7,9.9,8.35
9.64,9.9,9.4
9.2,9.9,8.3
7.5,6.4,9.7
7.5,6.4,8.4
8.7,7.7,10
8.31,7.7,10.45
9,9.7,8.3
9.74,9.1,10.3
9.31,8.9,8.5
10.5,8.9,10
9.3,9.4,10
8.12,9.4,7.3
9.34,8.6,9.1
9.72,9.8,9.6
9,9.8,9.1
9.65,10.6,10
9.9,9.7,10.3
10,10.1,10.8
10.1,10.1,8.8
8,8.5,8.5
9.07,7.7,8.9
9.75,9.4,10.6
9.33,10.1,8.35
8.11,8.9,10.6
9.36,9.1,9.2
9.74,10.2,8.9
9.9,9.5,8.5
9.23,9.1,9.45
9.7,9.5,9.2
8.2,9.5,8.4
9.35,9.85,9.9
9.49,7.9,9
9.34,7.9,9.3
8.87,8.6,10.8
9.03,8.6,8.5
9.07,8.1,10
9.43,10.3,8.9
8.2,8.5,8.8
9.19,9.2,9.2
9,9.2,8.7
9.2,10,9.2
9.06,9.3,9
9.81,9.1,9.7
8.89,9,8.9
9.4,11.5,8.4
10.45,11.4,9.7
9.64,10.3,9.1
9.03,8.9,8.8
8.71,8.9,8.7
9.91,9.6,10.4
8.33,9.6,8.5
8.2,7.2,9.2
7.83,7.2,9
7.14,7.2,7.3
8.91,7.2,9.4
9.18,8.9,9.4
8.8,8.9,8.3
9.9,11,8
7.73,7,9.1
9.25,9.85,9
8.7,9.8,8.8
9.5,9.8,9.8
9.3,10.2,8.4
9.05,10.2,9.5
10.18,9.6,9.4
8.85,8.3,9
9.24,9.5,10.15
9.15,9.5,8.5
9.98,10.9,10
8.77,9.5,8.7
9.8,10,9.1
8.65,8.5,9.6
10,8.8,11.2
8.81,9.8,8.9
8.01,8.8,7.95
7.9,8.8,7.8
9.41,8.9,8.7
10.18,9.8,10.4
9.55,9.6,9.4
9.08,10.4,9.1
8.4,10.4,9.8
9.75,9.45,9.7
8.9,9.45,9.4
9.07,10.4,8.9
9.35,8.45,9
8.9,9.5,8.55
8.19,9.7,7.3
8.65,9.6,8.3
9.19,8.7,9.9
8.9,10.4,7.3
9.28,9.6,8.3
10.58,9.1,10.5
9,9.2,9.8
9.4,8.4,8.9
8.91,9.9,8.3
9.93,9.1,9.7
10,7.95,9
9.37,9.6,9.1
7.4,8.5,7.4
9,8.8,9.9
8.8,7.8,9.35
9.18,9,9.1
8.3,7.9,8.45
10.08,9.9,9.8
7.9,8.2,7.5
9.96,9.3,10.4
10.4,10.1,10.1
9.65,9.4,9.3
8.8,9.4,8.3
8.65,9.1,8.4
9.7,9.9,9.35
9.23,9.5,9
9.43,9.3,9.8
9.93,10.35,10.3
8.47,9.8,7.3
9.55,9.8,9.55
9.28,9.5,8.8
8.85,9.6,8.4
8.9,10.1,9.2
8.75,8.5,8.7
8.63,9.25,8.35
9,8.7,9.3
9.43,10.3,9.6
8.28,8.9,7.9
9.23,9.5,9.2
10.4,10.1,10.5
9,8.3,9.8
9.8,9.45,10.5
9.77,10.8,9.15
8.97,8.5,8.8
8.37,8.8,8.65
7.7,7.4,9
7.9,7.4,8.3
9.5,8.85,8.7
8.2,9.3,7.7
8.8,9.4,9.4