date,game_number,winning_team,losing_team,winning_pitcher
18760715,140,,,
18800612,1035,,,
18800617,1046,,,
18800819,1177,,,
18800820,1179,,,
18820911,2114,,,
18820919,2144,,,
18820920,2151,,,
18830725,2637,,,
18830913,2892,,,
18840529,3265,,,
18840605,3347,,,
18840627,3539,,,
18840804,3895,,,
18840826,4076,,,
18840928,4363,,,
18841004,4411,,,
18850524,4681,,,
18850727,5043,,,
18850829,5217,,,
18860501,5464,,,
18860724,5957,,,
18861006,6420,,,
18880527,7740,,,
18880606,7799,,,
18880726,8097,,,
18880731,8129,,,
18900915,11100,,,
18910622,11741,,,
18910731,11979,,,
18911004,12414,,,
18920806,12985,,,
18920822,13063,,,
18921015,13335,,,
18930816,13899,,,
18970918,17265,,,
18980422,17355,,,
18980422,17356,,,
18980708,17736,,,
18980821,17958,,,
18990525,18438,,,
18990807,18806,,,
19000712,19435,,,
19010715,20279,,,
19020920,21893,,,
19030918,22995,,,
19040505,23211,,,
19040817,23896,,,
19050613,24711,,,
19050722,24990,,,
19050906,25315,,,
19050927,25477,,,
19060501,25697,,,
19060720,26243,,,
19070508,26959,,,
19070920,27926,,,
19080630,28551,,,
19080704,28581,,,
19080905,29032,,,
19080918,29140,,,
19080920,29161,,,
19081002,29253,,,
19100420,30579,,,
19100512,30704,,,
19110729,32173,,,
19110827,32278,,,
19120704,33588,DET,SLA,George Mullin
19120830,34018,SLA,DET,Earl Hamilton
19120906,34081,NY1,PHI,Jeff Tesreau
19140531,35960,CHA,CLE,Joe Benz
19140909,37065,BSN,PHI,Iron Davis
19140919,37189,BRF,KCF,Ed Lafitte
19150415,37441,NY1,BRO,Rube Marquard
19150424,37535,PTF,SLF,Frank Allen
19150515,37724,CHF,PTF,Claude Hendrix
19150816,38708,KCF,BUF,Alex Main
19150831,38875,CHN,NY1,Jimmy Lavender
19150907,38972,SLF,CHF,Dave Davenport
19160616,39675,BSN,PIT,Tom Hughes
19160621,39699,BOS,NYA,Rube Foster
19160826,40224,PHA,CLE,Bullet Joe Bush
19160830,40251,BOS,SLA,Dutch Leonard
19170414,40551,CHA,SLA,Eddie Cicotte
19170424,40611,NYA,BOS,George Mogridge
19170502,40651,CIN,CHN,Fred Toney
19170505,40664,SLA,CHA,Ernie Koob
19170506,40667,SLA,CHA,Bob Groom
19170623,40976,BOS,WS1,Ernie Shore
19180603,42091,BOS,DET,Dutch Leonard
19190511,42905,CIN,SLN,Hod Eller
19190910,43793,CLE,NYA,Ray Caldwell
19200701,44439,WS1,BOS,Walter Johnson
19220430,46528,CHA,DET,Charlie Robertson
19220507,46571,NY1,PHI,Jesse Barnes
19230904,48662,NYA,PHA,Sad Sam Jones
19230907,48674,BOS,PHA,Howard Ehmke
19240717,49561,SLN,BSN,Jesse Haines
19250913,51227,BRO,PHI,Dazzy Vance
19260821,52312,CHA,BOS,Ted Lyons
19290508,55213,NY1,PIT,Carl Hubbell
19310429,57646,CLE,SLA,Wes Ferrell
19310808,58397,WS1,BOS,Bobby Burke
19340921,62419,SLN,BRO,Paul Dean
19350831,63490,CHA,CLE,Vern Kennedy
19370601,65256,CHA,SLA,Bill Dietrich
19380611,66579,CIN,BSN,Johnny Vander Meer
19380615,66606,CIN,BRO,Johnny Vander Meer
19380827,67155,NYA,CLE,Monte Pearson
19400416,68681,CLE,CHA,Bob Feller
19400430,68759,BRO,CIN,Tex Carleton
19410830,70941,SLN,CIN,Lon Warneke
19440427,73694,BSN,BRO,Jim Tobin
19440515,73822,CIN,BSN,Clyde Shoun
19450909,75970,PHA,SLA,Dick Fowler
19460423,76182,BRO,BSN,Ed Head
19460430,76224,CLE,NYA,Bob Feller
19470618,77800,CIN,BSN,Ewell Blackwell
19470710,77952,CLE,PHA,Don Black
19470903,78432,PHA,WS1,Bill McCahan
19480630,79130,CLE,DET,Bob Lemon
19480909,79688,BRO,NY1,Rex Barney
19500811,81956,BSN,BRO,Vern Bickford
19510506,82499,PIT,BSN,Cliff Chambers
19510701,82892,CLE,DET,Bob Feller
19510712,82966,NYA,CLE,Allie Reynolds
19510928,83570,NYA,BOS,Allie Reynolds
19520515,83804,DET,WS1,Virgil Trucks
19520619,84060,BRO,CHN,Carl Erskine
19520825,84589,DET,NYA,Virgil Trucks
19530506,84987,SLA,PHA,Bobo Holloman
19540612,86517,MLN,PHI,Jim Wilson
19550512,87541,CHN,PIT,Sam Jones
19560512,88736,BRO,NY1,Carl Erskine
19560714,89199,BOS,CHA,Mel Parnell
19560925,89783,BRO,PHI,Sal Maglie
19561008,89821,NYA,BRO,Don Larsen
19570820,90765,CHA,WS1,Bob Keegan
19580720,91762,DET,BOS,Jim Bunning
19580920,92243,BAL,NYA,Hoyt Wilhelm
19600515,93741,CHN,SLN,Don Cardwell
19600818,94459,MLN,PHI,Lew Burdette
19600916,94684,MLN,PHI,Warren Spahn
19610428,94904,MLN,SFN,Warren Spahn
19620505,96436,LAA,BAL,Bo Belinsky
19620626,96935,BOS,LAA,Earl Wilson
19620630,96980,LAN,NYN,Sandy Koufax
19620801,97269,BOS,CHA,Bill Monbouquette
19620826,97537,MIN,KC1,Jack Kralick
19630511,98138,LAN,SFN,Sandy Koufax
19630517,98191,HOU,PHI,Don Nottebart
19630615,98461,SFN,HOU,Juan Marichal
19640423,99548,CIN,HOU,Joe Nuxhall
19640604,99935,LAN,PHI,Sandy Koufax
19640621,100112,PHI,NYN,Jim Bunning
19650819,102312,CIN,CHN,Jim Maloney
19650909,102529,LAN,CHN,Sandy Koufax
19650916,102584,BOS,CLE,Dave Morehead
19660610,103260,CLE,WS2,Sonny Siebert
19670430,104504,DET,BAL,Earl Wilson
19670618,104968,HOU,ATL,Don Wilson
19670825,105619,MIN,CLE,Dean Chance
19670910,105791,CHA,DET,Joe Horlen
19680427,106119,BAL,BOS,Tom Phoebus
19680508,106230,OAK,MIN,Catfish Hunter
19680729,107005,CIN,PHI,George Culver
19680917,107515,SFN,SLN,Gaylord Perry
19680918,107524,SLN,SFN,Ray Washburn
19690417,107722,MON,PHI,Bill Stoneman
19690430,107859,CIN,HOU,Jim Maloney
19690501,107872,HOU,CIN,Don Wilson
19690813,108997,BAL,OAK,Jim Palmer
19690819,109062,CHN,ATL,Ken Holtzman
19690920,109443,PIT,NYN,Bob Moose
19700612,110255,PIT,SDN,Dock Ellis
19700703,110488,CAL,OAK,Clyde Wright
19700720,110681,LAN,PHI,Bill Singer
19700921,111413,OAK,MIN,Vida Blue
19710603,112129,CHN,CIN,Ken Holtzman
19710623,112356,PHI,CIN,Rick Wise
19710814,112962,SLN,PIT,Bob Gibson
19720416,113502,CHN,PHI,Burt Hooton
19720902,114994,CHN,SDN,Milt Pappas
19721002,115318,MON,NYN,Bill Stoneman
19730427,115559,KCA,DET,Steve Busby
19730515,115739,CAL,KCA,Nolan Ryan
19730715,116442,CAL,DET,Nolan Ryan
19730730,116599,TEX,OAK,Jim Bibby
19730805,116682,ATL,SDN,Phil Niekro
19740619,118080,KCA,MIL,Steve Busby
19740719,118435,CLE,OAK,Dick Bosman
19740928,119214,CAL,MIN,Nolan Ryan
19750601,119818,CAL,BAL,Nolan Ryan
19750824,120820,SFN,NYN,Ed Halicki
19750928,121206,OAK,CAL,Vida Blue
19760709,122193,HOU,MON,Larry Dierker
19760728,122397,CHA,OAK,Blue Moon Odom
19760809,122547,PIT,LAN,John Candelaria
19760929,123124,SFN,ATL,John Montefusco
19770514,123570,KCA,TEX,Jim Colborn
19770530,123751,CLE,CAL,Dennis Eckersley
19770922,125155,TEX,CAL,Bert Blyleven
19780416,125408,SLN,PHI,Bob Forsch
19780616,126084,CIN,SLN,Tom Seaver
19790407,127436,HOU,ATL,Ken Forsch
19800627,130420,LAN,SFN,Jerry Reuss
19810510,131989,MON,SFN,Charlie Lea
19810515,132035,CLE,TOR,Len Barker
19810926,132935,HOU,LAN,Nolan Ryan
19830704,136196,NYA,BOS,Dave Righetti
19830926,137222,SLN,MON,Bob Forsch
19830929,137254,OAK,CHA,Mike Warren
19840407,137355,DET,CHA,Jack Morris
19840930,139411,CAL,TEX,Mike Witt
19860919,143455,CHA,CAL,Joe Cowley
19860925,143535,HOU,SFN,Mike Scott
19870415,143774,MIL,BAL,Juan Nieves
19880916,147706,CIN,LAN,Tom Browning
19900411,150058,CAL,SEA,Mark Langston
19900602,150654,SEA,DET,Randy Johnson
19900611,150765,TEX,OAK,Nolan Ryan
19900629,150981,OAK,TOR,Dave Stewart
19900629,150982,LAN,SLN,Fernando Valenzuela
19900815,151546,PHI,SFN,Terry Mulholland
19900902,151753,TOR,CLE,Dave Stieb
19910501,152414,TEX,TOR,Nolan Ryan
19910523,152657,PHI,MON,Tommy Greene
19910713,153235,BAL,OAK,Bob Milacki
19910728,153415,MON,LAN,Dennis Martinez
19910811,153573,CHA,BAL,Wilson Alvarez
19910826,153766,KCA,CHA,Bret Saberhagen
19910911,153959,ATL,SDN,Kent Mercker
19920817,155808,LAN,SFN,Kevin Gross
19930422,156601,SEA,BOS,Chris Bosio
19930904,158295,NYA,CLE,Jim Abbott
19930908,158351,HOU,NYN,Darryl Kile
19940408,158740,ATL,LAN,Kent Mercker
19940427,158966,MIN,MIL,Scott Erickson
19940728,160101,TEX,CAL,Kenny Rogers
19950714,161274,LAN,FLO,Ramon Martinez
19960511,162830,FLO,COL,Al Leiter
19960514,162862,NYA,SEA,Dwight Gooden
19960917,164445,LAN,COL,Hideo Nomo
19970610,165490,FLO,SFN,Kevin Brown
19970712,165869,PIT,HOU,Ricardo Rincon
19980517,167557,NYA,MIN,David Wells
19990625,170473,SLN,ARI,Jose Jimenez
19990718,170754,NYA,MON,David Cone
19990911,171520,MIN,ANA,Eric Milton
20010404,174340,BOS,BAL,Hideo Nomo
20010512,174852,FLO,SDN,A.J. Burnett
20010903,176374,SLN,SDN,Bud Smith
20020427,177120,BOS,TBA,Derek Lowe
20030427,179612,PHI,SFN,Kevin Millwood
20030611,180193,HOU,NYA,Brad Lidge
20040518,182266,ARI,ATL,Randy Johnson
20060906,188717,FLO,ARI,Anibal Sanchez
20070418,189296,CHA,TEX,Mark Buehrle
20070612,190042,DET,MIL,Justin Verlander
20070901,191118,BOS,BAL,Clay Buchholz
20080519,192222,BOS,KCA,Jon Lester
20080914,193772,CHN,HOU,Carlos Zambrano
20090710,195293,SFN,SDN,Jonathan Sanchez
20090723,195432,CHA,TBA,Mark Buehrle
20100417,196635,COL,ATL,Ubaldo Jimenez
20100509,196932,OAK,TBA,Dallas Braden
20100529,197210,PHI,FLO,Roy Halladay
20100625,197562,ARI,TBA,Edwin Jackson
20100726,197954,TBA,DET,Matt Garza
20101006,198905,PHI,CIN,Roy Halladay
20110503,199365,MIN,CHA,Francisco Liriano
20110507,199428,DET,TOR,Justin Verlander
20110727,200485,ANA,CLE,Ervin Santana
20120421,201614,CHA,SEA,Philip Humber
20120502,201754,ANA,MIN,Jered Weaver
20120601,202175,NYN,SLN,Johan Santana
20120608,202263,SEA,LAN,Stephen Pryor
20120613,202335,SFN,HOU,Matt Cain
20120815,203150,SEA,TBA,Felix Hernandez
20120928,203754,CIN,PIT,Homer Bailey
20130702,205104,CIN,SFN,Homer Bailey
20130713,205267,SFN,SDN,Tim Lincecum
20130929,206295,MIA,DET,Henderson Alvarez
20140525,207079,LAN,PHI,Josh Beckett
20140618,207406,LAN,COL,Clayton Kershaw
20140625,207508,SFN,SDN,Tim Lincecum
20140901,208385,PHI,ATL,Cole Hamels
20140928,208767,WAS,MIA,Jordan Zimmermann
20150609,209673,SFN,NYN,Chris Heston
20150620,209830,WAS,PIT,Max Scherzer
20150725,210250,PHI,CHN,Cole Hamels
20150812,210490,SEA,BAL,Hisashi Iwakuma
20150821,210610,HOU,LAN,Michael Fiers
20150830,210740,CHN,LAN,Jake Arrieta
20151003,211208,WAS,NYN,Max Scherzer
